dataset,a,b,omitted_cluster,metric,difference
opentom,subjectesis_direct,answer_only_direct,74447435,accuracy,-0.006688963210702337
opentom,subjectesis_direct,answer_only_direct,78394024,accuracy,-0.006688963210702337
opentom,subjectesis_direct,answer_only_direct,82931048,accuracy,-0.006688963210702337
opentom,subjectesis_direct,answer_only_direct,86737383,accuracy,-0.0050167224080267525
opentom,subjectesis_direct,answer_only_direct,88535842,accuracy,-0.006688963210702337
opentom,subjectesis_direct,answer_only_direct,90768647,accuracy,-0.006688963210702337
opentom,subjectesis_direct,answer_only_direct,98132318,accuracy,-0.006688963210702337
opentom,subjectesis_direct,answer_only_direct,99473854,accuracy,-0.006688963210702337
opentom,subjectesis_no_review,subjectesis_direct,10197775,accuracy,0.01170568561872909
opentom,subjectesis_no_review,subjectesis_direct,12976242,accuracy,0.013377926421404673
opentom,subjectesis_no_review,subjectesis_direct,13366612,accuracy,0.018394648829431426
opentom,subjectesis_no_review,subjectesis_direct,13369720,accuracy,0.013377926421404673
opentom,subjectesis_no_review,subjectesis_direct,13695961,accuracy,0.01672240802675584
opentom,subjectesis_no_review,subjectesis_direct,23953367,accuracy,0.015050167224080258
opentom,subjectesis_no_review,subjectesis_direct,25192217,accuracy,0.015050167224080258
opentom,subjectesis_no_review,subjectesis_direct,32725756,accuracy,0.015050167224080258
opentom,subjectesis_no_review,subjectesis_direct,36735830,accuracy,0.013377926421404673
opentom,subjectesis_no_review,subjectesis_direct,38709379,accuracy,0.01170568561872909
opentom,subjectesis_no_review,subjectesis_direct,40349564,accuracy,0.015050167224080258
opentom,subjectesis_no_review,subjectesis_direct,43999533,accuracy,0.015050167224080258
opentom,subjectesis_no_review,subjectesis_direct,44119117,accuracy,0.015050167224080258
opentom,subjectesis_no_review,subjectesis_direct,48498937,accuracy,0.015050167224080258
opentom,subjectesis_no_review,subjectesis_direct,48727468,accuracy,0.013377926421404673
opentom,subjectesis_no_review,subjectesis_direct,51542436,accuracy,0.015050167224080258
opentom,subjectesis_no_review,subjectesis_direct,61757120,accuracy,0.015050167224080258
opentom,subjectesis_no_review,subjectesis_direct,62157313,accuracy,0.01672240802675584
opentom,subjectesis_no_review,subjectesis_direct,74356138,accuracy,0.01170568561872909
opentom,subjectesis_no_review,subjectesis_direct,74447435,accuracy,0.01672240802675584
opentom,subjectesis_no_review,subjectesis_direct,78394024,accuracy,0.013377926421404673
opentom,subjectesis_no_review,subjectesis_direct,82931048,accuracy,0.013377926421404673
opentom,subjectesis_no_review,subjectesis_direct,86737383,accuracy,0.01170568561872909
opentom,subjectesis_no_review,subjectesis_direct,88535842,accuracy,0.013377926421404673
opentom,subjectesis_no_review,subjectesis_direct,90768647,accuracy,0.015050167224080258
opentom,subjectesis_no_review,subjectesis_direct,98132318,accuracy,0.018394648829431426
opentom,subjectesis_no_review,subjectesis_direct,99473854,accuracy,0.013377926421404673
opentom,subjectesis_review,subjectesis_no_review,10197775,accuracy,-0.006688963210702337
opentom,subjectesis_review,subjectesis_no_review,12976242,accuracy,-0.00836120401337792
opentom,subjectesis_review,subjectesis_no_review,13366612,accuracy,-0.010033444816053505
opentom,subjectesis_review,subjectesis_no_review,13369720,accuracy,-0.010033444816053505
opentom,subjectesis_review,subjectesis_no_review,13695961,accuracy,-0.00836120401337792
opentom,subjectesis_review,subjectesis_no_review,23953367,accuracy,-0.010033444816053505
opentom,subjectesis_review,subjectesis_no_review,25192217,accuracy,-0.006688963210702337
opentom,subjectesis_review,subjectesis_no_review,32725756,accuracy,-0.01170568561872909
opentom,subjectesis_review,subjectesis_no_review,36735830,accuracy,-0.01170568561872909
opentom,subjectesis_review,subjectesis_no_review,38709379,accuracy,-0.010033444816053505
opentom,subjectesis_review,subjectesis_no_review,40349564,accuracy,-0.010033444816053505
opentom,subjectesis_review,subjectesis_no_review,43999533,accuracy,-0.010033444816053505
opentom,subjectesis_review,subjectesis_no_review,44119117,accuracy,-0.010033444816053505
opentom,subjectesis_review,subjectesis_no_review,48498937,accuracy,-0.010033444816053505
opentom,subjectesis_review,subjectesis_no_review,48727468,accuracy,-0.010033444816053505
opentom,subjectesis_review,subjectesis_no_review,51542436,accuracy,-0.006688963210702337
